,amount,base_currency_code,base_currency_name,rates
SAR,1.0000,EUR,Euro,"{'currency_name': 'Saudi Riyal', 'rate': '4.4321', 'rate_for_amount': '4.4321'}"
SBD,1.0000,EUR,Euro,"{'currency_name': 'Solomon Islands Dollar', 'rate': '9.5525', 'rate_for_amount': '9.5525'}"
SCR,1.0000,EUR,Euro,"{'currency_name': 'Seychelles Rupee', 'rate': '21.7568', 'rate_for_amount': '21.7568'}"
SDG,1.0000,EUR,Euro,"{'currency_name': 'Sudanese Pound', 'rate': '65.5187', 'rate_for_amount': '65.5187'}"
SEK,1.0000,EUR,Euro,"{'currency_name': 'Swedish Krona', 'rate': '10.3364', 'rate_for_amount': '10.3364'}"
SGD,1.0000,EUR,Euro,"{'currency_name': 'Singapore Dollar', 'rate': '1.6095', 'rate_for_amount': '1.6095'}"
SHP,1.0000,EUR,Euro,"{'currency_name': 'Saint Helena Pound', 'rate': '0.9076', 'rate_for_amount': '0.9076'}"
SLL,1.0000,EUR,Euro,"{'currency_name': 'Leone', 'rate': '11746.4537', 'rate_for_amount': '11746.4537'}"
SOS,1.0000,EUR,Euro,"{'currency_name': 'Somali Shilling', 'rate': '687.4515', 'rate_for_amount': '687.4515'}"
SRD,1.0000,EUR,Euro,"{'currency_name': 'Surinam Dollar', 'rate': '16.8175', 'rate_for_amount': '16.8175'}"
SSP,1.0000,EUR,Euro,"{'currency_name': 'South Sudanese Pound', 'rate': '197.3303', 'rate_for_amount': '197.3303'}"
STD,1.0000,EUR,Euro,"{'currency_name': 'Sao Tomean Dobra', 'rate': '24500.0737', 'rate_for_amount': '24500.0737'}"
STN,1.0000,EUR,Euro,"{'currency_name': 'Dobra', 'rate': '25.9484', 'rate_for_amount': '25.9484'}"
SVC,1.0000,EUR,Euro,"{'currency_name': 'El Salvador Colon', 'rate': '10.4029', 'rate_for_amount': '10.4029'}"
SYP,1.0000,EUR,Euro,"{'currency_name': 'Syrian Pound', 'rate': '1044.3723', 'rate_for_amount': '1044.3723'}"
SZL,1.0000,EUR,Euro,"{'currency_name': 'Lilangeni', 'rate': '19.2080', 'rate_for_amount': '19.2080'}"
THB,1.0000,EUR,Euro,"{'currency_name': 'Baht', 'rate': '36.8866', 'rate_for_amount': '36.8866'}"
TJS,1.0000,EUR,Euro,"{'currency_name': 'Somoni', 'rate': '12.2302', 'rate_for_amount': '12.2302'}"
TMT,1.0000,EUR,Euro,"{'currency_name': 'Turkmenistan New Manat', 'rate': '4.1435', 'rate_for_amount': '4.1435'}"
TND,1.0000,EUR,Euro,"{'currency_name': 'Tunisian Dinar', 'rate': '3.2608', 'rate_for_amount': '3.2608'}"
TOP,1.0000,EUR,Euro,"{'currency_name': 'Pa’anga', 'rate': '2.7486', 'rate_for_amount': '2.7486'}"
TRY,1.0000,EUR,Euro,"{'currency_name': 'Turkish Lira', 'rate': '9.6386', 'rate_for_amount': '9.6386'}"
TTD,1.0000,EUR,Euro,"{'currency_name': 'Trinidad and Tobago Dollar', 'rate': '8.0605', 'rate_for_amount': '8.0605'}"
TWD,1.0000,EUR,Euro,"{'currency_name': 'New Taiwan Dollar', 'rate': '34.0717', 'rate_for_amount': '34.0717'}"
TZS,1.0000,EUR,Euro,"{'currency_name': 'Tanzanian Shilling', 'rate': '2755.1670', 'rate_for_amount': '2755.1670'}"
UAH,1.0000,EUR,Euro,"{'currency_name': 'Hryvnia', 'rate': '33.4894', 'rate_for_amount': '33.4894'}"
UGX,1.0000,EUR,Euro,"{'currency_name': 'Uganda Shilling', 'rate': '4446.1407', 'rate_for_amount': '4446.1407'}"
USD,1.0000,EUR,Euro,"{'currency_name': 'US Dollar', 'rate': '1.1819', 'rate_for_amount': '1.1819'}"
UYU,1.0000,EUR,Euro,"{'currency_name': 'Peso Uruguayo', 'rate': '50.8623', 'rate_for_amount': '50.8623'}"
UZS,1.0000,EUR,Euro,"{'currency_name': 'Uzbekistan Sum', 'rate': '12228.4101', 'rate_for_amount': '12228.4101'}"
VES,1.0000,EUR,Euro,"{'currency_name': 'Bolívar Soberano', 'rate': '574107.9240', 'rate_for_amount': '574107.9240'}"
VND,1.0000,EUR,Euro,"{'currency_name': 'Dong', 'rate': '27543.4086', 'rate_for_amount': '27543.4086'}"
VUV,1.0000,EUR,Euro,"{'currency_name': 'Vatu', 'rate': '134.8898', 'rate_for_amount': '134.8898'}"
WST,1.0000,EUR,Euro,"{'currency_name': 'Tala', 'rate': '3.1240', 'rate_for_amount': '3.1240'}"
XAF,1.0000,EUR,Euro,"{'currency_name': 'CFA Franc BEAC', 'rate': '655.9570', 'rate_for_amount': '655.9570'}"
XAG,1.0000,EUR,Euro,"{'currency_name': 'Silver (troy ounce)', 'rate': '0.0487', 'rate_for_amount': '0.0487'}"
XAU,1.0000,EUR,Euro,"{'currency_name': 'Gold (troy ounce)', 'rate': '0.0194', 'rate_for_amount': '0.0194'}"
XCD,1.0000,EUR,Euro,"{'currency_name': 'East Caribbean Dollar', 'rate': '3.1911', 'rate_for_amount': '3.1911'}"
XDR,1.0000,EUR,Euro,"{'currency_name': 'SDR (Special Drawing Right)', 'rate': '0.8360', 'rate_for_amount': '0.8360'}"
XOF,1.0000,EUR,Euro,"{'currency_name': 'CFA Franc BCEAO', 'rate': '655.9570', 'rate_for_amount': '655.9570'}"
XPF,1.0000,EUR,Euro,"{'currency_name': 'CFP Franc', 'rate': '119.3317', 'rate_for_amount': '119.3317'}"
YER,1.0000,EUR,Euro,"{'currency_name': 'Yemeni Rial', 'rate': '296.4476', 'rate_for_amount': '296.4476'}"
ZAR,1.0000,EUR,Euro,"{'currency_name': 'Rand', 'rate': '19.2080', 'rate_for_amount': '19.2080'}"
ZMW,1.0000,EUR,Euro,"{'currency_name': 'Zambian Kwacha', 'rate': '24.0338', 'rate_for_amount': '24.0338'}"
ZWL,1.0000,EUR,Euro,"{'currency_name': 'Zimbabwe Dollar', 'rate': '96.6919', 'rate_for_amount': '96.6919'}"
